zone,numero,couche,x,y,zrelatif,zreference,zabsolu,orientation,pendage,vers,longueur,largeur,epaisseur
K20,985,KLD14,40,81,89,150,239,NS,P,,30,17,6
K20,2125,KLD21,11,53,17,240,257,EW,O,E,22,21,10
K20,2261,KLD23,20,50,29,240,269,NS,P,,18,16,14
K20,2133,KLD21,-1,73,14,240,254,NS,P,,16,11,8
K20,2418,KLD19,-4,88,16,230,246,EW,P,,28,18,14
K20,2417,KLD19,-3,88,15,230,245,EW,SC,E,36,26,18
K20,11838,KLD14,,,,,,,,,15,14,5
K20,12097,KLD23,,,,,,,,,12,9,3
K20,12098,KLD23,,,,,,,,,10,7,2
K20,2578,KLE6,44,2,74,230,304,EW,O,W,60,46,30
K20,2298,KLD24,19,49,33,240,273,EW,SV,W,34,16,10
K20,2377,KLE1,16,60,47,230,277,EW,P,,13,10,10
K20,2439,KLE1,33,86,46,230,276,NESW,O,SW,83,30,2
K20,2395,KLE1,26,21,57,230,287,NESW,C,,17,11,9
K20,2402,KLE1,13,66,59,230,289,NESW,O,SW,74,56,40
K20,2440,KLE1,12,87,48,230,278,NESW,O,SW,52,29,10
K20,2228,KLD23,48,67,25,240,265,,O,E,65,60,40
K20,2472,KLE1,14,22,61,230,291,EW,SV,E,67,28,10
K20,2401,KLE1,28,62,50,230,280,NS,P,,120,90,70
K20,2394,KLE1,27,30,52,230,282,NESW,O,NE,22,18,9
K20,2531,KLE1,20,64,65,230,295,,V,,43,26,24
K20,2558,KLE4,2,67,77,230,307,NS,O,W,70,60,35
K20,2534,KLE1,14,77,67,230,297,NS,P,,18,14,12
K20,49972,KLD19,,,,,,,,,0,0,0
K20,2441,KLE3,-2,86,51,230,281,NWSE,SC,SW,20,6,4
K20,2541,KLE1,-3,72,71,230,301,EW,P,,40,27,25
K20,2200,KLD23,17,73,"22,5",240,"262,5",,P,,14,14,6
K20,49727,KLD24,,,,,,,,,0,0,0
K20,2785,KLF7,32,7,96,"233,5","329,5",EW,P,,72,35,23
K20,13263,KLD4,,,,,,,,,16,7,5
K20,11840,KLD14,,,,,,,,,16,10,4
K20,2584,KLE6,7,10,84,230,314,EW,P,,50,15,8
K20,2184,KLD23,37,41,26,240,266,NS,P,,30,26,19
K20,2438,KLE1,26,84,45,230,275,NESW,O,SW,35,22,3
K20,2545,KLE1,25,33,69,230,299,NWSE,SV,NW,113,72,50
K20,2583,KLE6,38,88,37,230,267,EW,P,,16,6,4
K20,2297,KLD24,11,87,30,240,270,NWSE,P,,39,18,16
K20,2217,KLD23,57,90,24,240,264,NWSE,SC,SW,15,10,8
K20,2265,KLD24,32,21,33,240,273,NESW,O,NW,28,23,9
K20,2392,KLE1,23,23,56,230,286,,,,52,51,44
K20,2225,KLD23,19,81,23,240,263,NESW,P,,26,18,11
K20,2462,KLD19,78,5,10,230,240,,O,NW,14,11,8
K20,1930,KLD17,76,2,241,0,241,NESW,P,,18,8,6
K20,2464,KLD19,73,4,20,230,250,,O,W,70,40,10
K20,2464,KLD19,73,4,20,230,250,,O,W,70,40,10
K20,2568,KLE6,11,6,81,230,311,,V,,11,6,4
K20,2406,KLE1,37,58,48,230,278,NWSE,O,W,30,19,15
K20,2391,KLE1,19,50,57,230,287,NESW,O,SW,11,9,7
K20,2405,KLE1,33,42,49,230,279,,V,,50,22,13
K20,2307,KLD24,32,26,36,240,276,NS,P,,110,95,60
K20,2404,KLE1,40,47,48,230,278,NS,SC,W,75,47,24
K20,13628,KLD14,,,,,,,,,32,20,11
K20,12113,KLD3,,,,,,,,,8,6,1
K20,2475,KLE1,26,22,60,230,290,NESW,SC,NE,120,60,30
K20,2412,KLE1,27,52,59,230,289,NESW,SC,NE,120,110,56
K20,2532,KLE1,13,26,67,230,297,,V,,42,39,36
K20,2239,KLD23,15,70,27,240,267,NS,O,S,29,22,5
K20,2487,KLE1,20,30,61,230,291,EW,O,E,84,62,19
K20,2376,KLE1,16,67,46,230,276,EW,O,W,19,13,10
K20,2318,KLD25,48,82,34,240,274,,P,,70,70,40
K20,2474,KLE1,23,27,62,230,292,,P,,110,100,35
K20,2422,KLD23,13,87,35,230,265,,P,,25,22,15
K20,2383,KLE1,17,30,49,230,279,NS,O,S,220,140,90
K20,2450,KLE1,41,89,43,230,273,EW,P,,61,45,17
K20,2398,KLE1,24,27,58,230,288,NS,P,,75,55,40
K20,2384,KLE1,24,43,47,230,277,,,,97,70,50
K20,2385,KLE1,33,66,44,230,274,EW,P,,14,9,7
K20,2230,KLD23,35,69,27,240,267,NESW,P,,220,160,90
K20,2407,KLE1,13,49,46,230,276,EW,SC,N,62,52,50
K20,2389,KLE1,34,69,46,230,276,NESW,P,,93,55,29
K20,2397,KLE1,16,35,57,230,287,NS,P,,80,57,36
K20,2263,KLD24,28,30,33,240,273,NESW,P,,27,14,13
K20,2399,KLE1,22,37,58,230,288,EW,P,,105,80,62
K20,2274,KLD24,11,86,29,240,269,NWSE,O,NW,41,27,25
K20,2425,KLE1,12,89,44,230,274,,V,,50,38,33
K20,2254,KLD24,36,49,31,240,271,NESW,P,,25,23,18
K20,2321,KLD25,51,92,34,240,274,EW,P,,45,35,17
K20,49822,KLD26,,,,,,,,,0,0,0
K20,50088,KLD3,,,,,,,,,0,0,0
K20,2054,KLD19,76,5,"12,5",240,"252,5",EW,P,,18,13,9
K20,12068,KLD13,,,,,,,,,20,13,8
K20,13246,KLD4,,,,,,,,,14,13,8
K20,13343,KLD14,,,,,,,,,23,18,12
K20,2489,KLE1,38,57,57,230,287,NWSE,O,NW,28,21,8
K20,2546,KLE1,29,40,68,230,298,EW,O,W,73,62,29
K20,13167,KLD6,,,,,,,,,10,5,3
K20,13181,KLD19,,,,,,,,,17,16,6
K20,50605,KLD4,,,,,,,,,0,0,0
K20,13180,KLD8,,,,,,,,,15,13,3
K20,50438,KLD14,,,,,,,,,0,0,0
K20,2632,KLF5M,27,55,"73,5",236,"309,5",NS,P,,96,73,56
K20,2567,KLE6,32,56,75,230,305,NESW,P,,70,60,34
K20,2576,KLE6,30,90,64,230,294,NS,O,E,100,80,36
K20,13189,KLD13,,,,,,,,,17,16,4
K20,49682,KLD10,,,,,,,,,0,0,0
K20,50972,KLD14,,,,,,,,,0,0,0
K20,2590,KLE6,40,47,81,230,311,NS,C,,21,16,4
K20,2581,KLE6,27,98,72,230,302,EW,C,,140,75,65
K20,11890,KLE2,,,,,,,,,12,8,4
K20,50634,KLD14,,,,,,,,,0,0,0
K20,2597,KLF5M,42,47,"86,5",238,"324,5",NESW,O,SW,90,73,50
K20,13278,KLD19,,,,,,,,,17,15,5
K20,49725,KLD14,,,,,,,,,0,0,0
K20,50211,KLD18,,,,,,,,,0,0,0
K20,2646,KLF5M,33,77,81,236,317,EW,O,W,83,63,32
K20,11992,KLD10,,,,,,,,,8,6,1
K20,13192,KLD13,,,,,,,,,16,15,5
K20,13243,KLD4,,,,,,,,,11,6,4
K20,13341,KLD3,,,,,,,,,10,9,3
K20,2651,KLF5M,43,80,75,236,311,EW,O,W,105,75,30
K20,2605,KLF5M,8,45,"103,5",238,"341,5",NS,P,,80,45,20
K20,2628,KLF5M,28,71,"84,5",236,"320,5",NESW,O,SW,100,35,22
K20,2634,KLF5M,30,77,82,236,318,EW,P,,41,28,14
K20,2627,KLF5M,36,78,"76,5",236,"312,5",NS,SC,W,42,21,12
K20,2596,KLF5M,38,57,"86,5",238,"324,5",NWSE,SC,SW,102,60,35
K20,2642,KLF5M,40,71,"76,5",236,"312,5",NS,O,SW,47,27,18
K20,2882,KLF10,22,15,49,300,349,NWSE,SV,NW,28,21,4
K20,2446,KLE3,-3,85,52,230,282,NESW,SV,SW,28,21,18
K20,2448,KLE3,-1,83,54,230,284,,V,,19,15,10
K20,2449,KLE3,-1,82,53,230,283,NS,O,S,11,8,5
K20,2423,KLD23,4,89,36,230,266,NESW,P,,20,14,5
K20,2424,KLE1,6,89,44,230,274,,V,,65,49,40
K20,2445,KLE3,1,84,54,230,284,NESW,SC,,18,10,8
K20,2442,KLE3,1,85,51,230,281,NESW,C,,13,6,3
K20,2482,KLE1,10,83,56,230,286,,V,,30,24,8
K20,13260,KLD4,,,,,,,,,5,4,2
K20,12259,KLD10,,,,,,,,,31,26,10
K20,12054,KLD8,,,,,,,,,5,5,2
K20,12086,KLD13,,,,,,,,,8,5,2
K20,13241,KLD4,,,,,,,,,10,9,6
K20,13242,KLD4,,,,,,,,,10,10,8
K20,13340,KLD3,,,,,,,,,9,6,3
K20,12236,KLD3,,,,,,,,,7,5,1
K20,2564,KLE4,10,3,71,230,301,EW,O,W,115,60,53
K20,2444,KLE3,7,82,51,230,281,NS,SV,,19,11,8
